,/lpc/it8720f/control/0,/lpc/it8720f/control/1,/lpc/it8720f/control/2,/lpc/it8720f/voltage/0,/lpc/it8720f/voltage/1,/lpc/it8720f/voltage/2,/lpc/it8720f/voltage/3,/lpc/it8720f/voltage/4,/lpc/it8720f/voltage/8,/lpc/it8720f/temperature/0,/lpc/it8720f/temperature/1,/lpc/it8720f/fan/0,/amdcpu/0/load/1,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/clock/7,/amdcpu/0/clock/8,/amdcpu/0/temperature/0,/amdcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/fan/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/control/0,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/3,/hdd/0/temperature/0,/hdd/0/level/0,/hdd/0/data/0,/hdd/0/data/1,/hdd/0/data/2,/hdd/0/load/0,/hdd/0/factor/1,/hdd/1/temperature/0,/hdd/1/load/0,/hdd/2/temperature/0,/hdd/2/load/0,/hdd/3/temperature/0,/hdd/3/load/0,/hdd/4/temperature/0,/hdd/4/load/0
Time,"PWM 1","PWM 2","PWM 3","CPU VCore","DRAM","+3.3V","+5V","+12V","VBat","System","CPU","CPU Fan","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","Core #1 - #8","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Fan","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Remaining Life","Controller Writes to NAND","Host Writes to Controller","Host Reads","Used Space","Write Amplification","Temperature","Used Space","Temperature","Used Space","Temperature","Used Space","Temperature","Used Space"
11/18/2018 09:09:21,100,,100,1.3440001,1.50400007,3.344,5.05344,11.9853659,3.31200027,23,42,3341.58423,65.625,67.1875,67.1875,71.875,64.0625,59.375,60.9375,73.4375,66.21094,3422.8562,3120.83936,3120.83936,3422.8562,3120.83936,3120.83936,3422.8562,3422.8562,37.875,201.344482,17.70015,2.8287735,13.1528625,25,1465,1506.00012,4006.80029,3012.00024,1,0,0,49,3072,347.277344,2724.72266,11.3046007,20,100,8000,7616,18368,97.36433,1.05042017,19,91.46388,21,79.2032,21,91.96342,,15.1588593
11/18/2018 09:09:22,100,,100,1.376,1.50400007,3.344,5.02656031,11.9853659,3.31200027,23,43,3308.82349,92.1875,81.25,87.5,78.125,84.375,70.3125,78.125,78.125,81.25,3422.853,3120.83667,3120.83667,3120.83667,3120.83667,3422.853,3120.83667,3422.853,38.375,201.3443,17.8915863,2.85936737,13.1222687,25,1463,1506.00012,4006.80029,3012.00024,1,0,0,49,3072,349.800781,2722.19922,11.3867445,20,100,8000,7616,18368,97.36433,1.05042017,19,91.46388,21,79.2032,21,91.96342,,15.1588593
11/18/2018 09:09:23,100,,100,1.36,1.50400007,3.344,5.05344,11.9853659,3.31200027,23,43,3325.123,85.9375,89.0625,87.5,84.375,85.9375,89.0625,90.625,89.0625,87.69531,3422.8562,3422.8562,3422.8562,3422.8562,3422.8562,3120.8396,3120.8396,3422.8562,39.375,201.344482,18.35746,2.93382263,13.0478134,25,1461,1506.00012,4006.80029,3012.00024,2,0,0,49,3072,374.488281,2697.51172,12.1903734,20,100,8000,7616,18368,97.36433,1.05042017,19,91.46388,21,79.2032,21,91.96342,,15.1588593
11/18/2018 09:09:24,100,,100,1.40800011,1.50400007,3.344,5.05344,12.04878,3.31200027,23,43,3308.82349,73.8461456,70.7692261,80,60.0000038,70.7692261,63.0769272,60.0000038,67.69231,68.2692261,3422.85327,3422.85327,3120.837,3422.85327,3422.85327,3422.85327,3120.837,3422.85327,38.375,201.344315,18.9074326,3.021717,12.959919,25,1463,1506.00012,4006.80029,3012.00024,3,1,2,49,3072,387.5,2684.5,12.6139326,20,100,8000,7616,18368,97.36433,1.05042017,19,91.46388,21,79.2032,21,91.96342,,15.1588593
11/18/2018 09:09:25,100,,100,1.40800011,1.50400007,3.344,5.05344,11.9853659,3.31200027,23,44,3325.123,63.4920578,71.42857,85.71429,69.84126,66.6666641,71.42857,82.53968,76.1904755,73.4127,3422.857,3120.84,3422.857,3422.857,3422.857,3422.857,3422.857,3120.84,39,201.344528,19.6059952,3.133358,12.848278,26,1465,1506.00012,4006.80029,3012.00024,4,1,2,49,3072,390.160156,2681.83984,12.7005262,20,100,8000,7616,18368,97.36433,1.05042017,19,91.46388,21,79.2032,21,91.96342,,15.1588593
11/18/2018 09:09:26,100,,100,1.39200008,1.50400007,3.344,5.05344,11.9853659,3.31200027,23,44,3325.123,65.625,65.625,73.4375,54.6875,60.9375,53.125,62.5,48.4375,60.546875,3422.855,4026.88818,3422.855,3422.855,3422.855,3422.855,3422.855,3422.855,38.875,201.3444,19.2001419,3.0684967,12.9131393,26,1471,1506.00012,4006.80029,3012.00024,3,1,2,49,3072,388.902344,2683.09766,12.6595812,20,100,8000,7616,18368,97.36433,1.05042017,19,91.46388,21,79.2032,21,91.96342,,15.1588593
11/18/2018 09:09:27,100,,100,1.3440001,1.50400007,3.344,5.05344,11.9853659,3.31200027,23,43,3325.123,56.25,35.9375,50,45.3125,53.125,39.0625,31.25,48.4375,44.921875,3120.83936,3120.83936,3422.8562,3422.8562,3120.83936,3422.8562,3422.8562,3422.8562,38.75,201.344482,19.22976,3.07323074,12.9084053,25,1473,873.000061,4006.80029,1746.00012,3,1,2,49,3072,388.902344,2683.09766,12.6595812,20,100,8000,7616,18368,97.36433,1.05042017,19,91.46388,21,79.2032,21,91.96342,,15.1588593
11/18/2018 09:09:28,100,,100,1.40800011,1.50400007,3.344,5.05344,11.9853659,3.31200027,23,44,3325.123,50,31.25,50,45.3125,34.375,28.125,21.875,34.375,36.9140625,3422.85547,3422.85547,4026.88867,3422.85547,3422.85547,3422.85547,3422.85547,3422.85547,37.75,201.344437,19.077095,3.048832,12.9328041,26,1473,873.000061,4006.80029,1746.00012,5,1,3,49,3072,388.902344,2683.09766,12.6595812,20,100,8000,7616,18368,97.36433,1.05042017,19,91.46388,21,79.2032,21,91.96342,,15.1588593
11/18/2018 09:09:29,100,,100,1.424,1.50400007,3.344,5.05344,11.9853659,3.31200027,23,43,3325.123,48.4375,28.125,70.3125,37.5,68.75,18.75,25.3968239,18.75,39.5027275,3422.855,3422.855,3422.855,3422.855,3422.855,3422.855,3422.855,3120.83838,37.625,201.3444,19.0830841,3.04978943,12.9318466,25,1475,873.000061,4006.80029,1746.00012,5,1,3,49,3072,388.902344,2683.09766,12.6595812,20,100,8000,7616,18368,97.36433,1.05042017,19,91.46388,21,79.2032,21,91.96342,,15.1588593
11/18/2018 09:09:30,100,,100,1.424,1.50400007,3.344,5.05344,12.04878,3.31200027,23,44,3325.123,44.6153831,41.53846,53.8461571,46.1538429,70.7692261,44.6153831,59.09091,46.1538429,50.8479,3120.838,3422.85449,3422.85449,3120.838,3120.838,3120.838,3422.85449,3422.85449,38.75,201.344391,19.43747,3.10642624,12.87521,25,1475,873.000061,3802.487,1746.00012,11,2,4,49,3072,392.402344,2679.59766,12.7735138,20,100,8000,7616,18368,97.36433,1.05042017,19,91.46388,21,79.2032,21,91.96342,,15.1588593
